INPUT FILE: /Users/cc/Desktop/hamiltonian/stacking/stacking_examples_reverse/R1-C8_R2-C2_R3-C8.txt

Stacking Case (types read from header)
-------------------------------------
R1: C8 — m odd > 3, n even > 2
R2: C2 — m even > 2, n = 2
R3: C8 — m odd > 3, n even > 2

Example 1
  R1: m=5, n=4
  R2: m=6, n=2
  R3: m=7, n=4
  #Solutions: 108
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
     67. R3[4->0], R2[0->4], R1[4->4]
     68. R3[4->2], R2[2->0], R1[0->0]
     69. R3[4->2], R2[2->0], R1[0->2]
     70. R3[4->2], R2[2->0], R1[0->4]
     71. R3[4->2], R2[2->4], R1[4->0]
     72. R3[4->2], R2[2->4], R1[4->2]
     73. R3[4->2], R2[2->4], R1[4->4]
     74. R3[4->4], R2[4->0], R1[0->0]
     75. R3[4->4], R2[4->0], R1[0->2]
     76. R3[4->4], R2[4->0], R1[0->4]
     77. R3[4->4], R2[4->2], R1[2->0]
     78. R3[4->4], R2[4->2], R1[2->2]
     79. R3[4->4], R2[4->2], R1[2->4]
     80. R3[5->1], R2[1->3], R1[3->1]
     81. R3[5->1], R2[1->3], R1[3->3]
     82. R3[5->3], R2[3->1], R1[1->1]
     83. R3[5->3], R2[3->1], R1[1->3]
     84. R3[5->5], R2[5->1], R1[1->1]
     85. R3[5->5], R2[5->1], R1[1->3]
     86. R3[5->5], R2[5->3], R1[3->1]
     87. R3[5->5], R2[5->3], R1[3->3]
     88. R3[6->0], R2[0->0], R1[0->0]
     89. R3[6->0], R2[0->0], R1[0->2]
     90. R3[6->0], R2[0->0], R1[0->4]
     91. R3[6->0], R2[0->2], R1[2->0]
     92. R3[6->0], R2[0->2], R1[2->2]
     93. R3[6->0], R2[0->2], R1[2->4]
     94. R3[6->0], R2[0->4], R1[4->0]
     95. R3[6->0], R2[0->4], R1[4->2]
     96. R3[6->0], R2[0->4], R1[4->4]
     97. R3[6->2], R2[2->0], R1[0->0]
     98. R3[6->2], R2[2->0], R1[0->2]
     99. R3[6->2], R2[2->0], R1[0->4]
    100. R3[6->2], R2[2->4], R1[4->0]
    101. R3[6->2], R2[2->4], R1[4->2]
    102. R3[6->2], R2[2->4], R1[4->4]
    103. R3[6->4], R2[4->0], R1[0->0]
    104. R3[6->4], R2[4->0], R1[0->2]
    105. R3[6->4], R2[4->0], R1[0->4]
    106. R3[6->4], R2[4->2], R1[2->0]
    107. R3[6->4], R2[4->2], R1[2->2]
    108. R3[6->4], R2[4->2], R1[2->4]
    109. R3[7->1], R2[1->3], R1[3->1]
    110. R3[7->1], R2[1->3], R1[3->3]
    111. R3[7->3], R2[3->1], R1[1->1]
    112. R3[7->3], R2[3->1], R1[1->3]
    113. R3[7->5], R2[5->1], R1[1->1]
    114. R3[7->5], R2[5->1], R1[1->3]
    115. R3[7->5], R2[5->3], R1[3->1]
    116. R3[7->5], R2[5->3], R1[3->3]
    117. R3[8->0], R2[0->0], R1[0->0]
    118. R3[8->0], R2[0->0], R1[0->2]
    119. R3[8->0], R2[0->0], R1[0->4]
    120. R3[8->0], R2[0->2], R1[2->0]
    121. R3[8->0], R2[0->2], R1[2->2]
    122. R3[8->0], R2[0->2], R1[2->4]
    123. R3[8->0], R2[0->4], R1[4->0]
    124. R3[8->0], R2[0->4], R1[4->2]
    125. R3[8->0], R2[0->4], R1[4->4]
    126. R3[8->2], R2[2->0], R1[0->0]
    127. R3[8->2], R2[2->0], R1[0->2]
    128. R3[8->2], R2[2->0], R1[0->4]
    129. R3[8->2], R2[2->4], R1[4->0]
    130. R3[8->2], R2[2->4], R1[4->2]
    131. R3[8->2], R2[2->4], R1[4->4]
    132. R3[8->4], R2[4->0], R1[0->0]
    133. R3[8->4], R2[4->0], R1[0->2]
    134. R3[8->4], R2[4->0], R1[0->4]
    135. R3[8->4], R2[4->2], R1[2->0]
    136. R3[8->4], R2[4->2], R1[2->2]
    137. R3[8->4], R2[4->2], R1[2->4]
    138. R3[9->1], R2[1->3], R1[3->1]
    139. R3[9->1], R2[1->3], R1[3->3]
    140. R3[9->3], R2[3->1], R1[1->1]
    141. R3[9->3], R2[3->1], R1[1->3]
    142. R3[9->5], R2[5->1], R1[1->1]
    143. R3[9->5], R2[5->1], R1[1->3]
    144. R3[9->5], R2[5->3], R1[3->1]
    145. R3[9->5], R2[5->3], R1[3->3]
    146. R3[10->0], R2[0->0], R1[0->0]
    147. R3[10->0], R2[0->0], R1[0->2]
    148. R3[10->0], R2[0->0], R1[0->4]
    149. R3[10->0], R2[0->2], R1[2->0]
    150. R3[10->0], R2[0->2], R1[2->2]
    151. R3[10->0], R2[0->2], R1[2->4]
    152. R3[10->0], R2[0->4], R1[4->0]
    153. R3[10->0], R2[0->4], R1[4->2]
    154. R3[10->0], R2[0->4], R1[4->4]
    155. R3[10->2], R2[2->0], R1[0->0]
    156. R3[10->2], R2[2->0], R1[0->2]
    157. R3[10->2], R2[2->0], R1[0->4]
    158. R3[10->2], R2[2->4], R1[4->0]
    159. R3[10->2], R2[2->4], R1[4->2]
    160. R3[10->2], R2[2->4], R1[4->4]
    161. R3[10->4], R2[4->0], R1[0->0]
    162. R3[10->4], R2[4->0], R1[0->2]
    163. R3[10->4], R2[4->0], R1[0->4]
    164. R3[10->4], R2[4->2], R1[2->0]
    165. R3[10->4], R2[4->2], R1[2->2]
    166. R3[10->4], R2[4->2], R1[2->4]

  First few with global coordinates (up to 10 shown):
      1. whole: s=(0, 9) -> t=(0, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (0, 4)   (bridge down from R2_t to R1_s)
         R1: (0, 3) -> (0, 0)
      2. whole: s=(0, 9) -> t=(2, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (0, 4)   (bridge down from R2_t to R1_s)
         R1: (0, 3) -> (2, 0)
      3. whole: s=(0, 9) -> t=(4, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (0, 4)   (bridge down from R2_t to R1_s)
         R1: (0, 3) -> (4, 0)
      4. whole: s=(0, 9) -> t=(0, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (2, 4)   (bridge down from R2_t to R1_s)
         R1: (2, 3) -> (0, 0)
      5. whole: s=(0, 9) -> t=(2, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (2, 4)   (bridge down from R2_t to R1_s)
         R1: (2, 3) -> (2, 0)
      6. whole: s=(0, 9) -> t=(4, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (2, 4)   (bridge down from R2_t to R1_s)
         R1: (2, 3) -> (4, 0)
      7. whole: s=(0, 9) -> t=(0, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (4, 4)   (bridge down from R2_t to R1_s)
         R1: (4, 3) -> (0, 0)
      8. whole: s=(0, 9) -> t=(2, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (4, 4)   (bridge down from R2_t to R1_s)
         R1: (4, 3) -> (2, 0)
      9. whole: s=(0, 9) -> t=(4, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (4, 4)   (bridge down from R2_t to R1_s)
         R1: (4, 3) -> (4, 0)
     10. whole: s=(0, 9) -> t=(0, 0)
         R3: (0, 9) -> (2, 6)   (bridge down from R3_t to R2_s)
         R2: (2, 5) -> (0, 4)   (bridge down from R2_t to R1_s)
         R1: (0, 3) -> (0, 0)

------------------------------------------------------------

Example 6
  R1: m=5, n=4
  R2: m=8, n=2
  R3: m=11, n=4
  #Solutions: 240
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
      1. R3[0->0], R2[0->0], R1[0->0]
      2. R3[0->0], R2[0->0], R1[0->2]
      3. R3[0->0], R2[0->0], R1[0->4]
      4. R3[0->0], R2[0->2], R1[2->0]
      5. R3[0->0], R2[0->2], R1[2->2]
      6. R3[0->0], R2[0->2], R1[2->4]
      7. R3[0->0], R2[0->4], R1[4->0]
      8. R3[0->0], R2[0->4], R1[4->2]
      9. R3[0->0], R2[0->4], R1[4->4]
     10. R3[0->2], R2[2->0], R1[0->0]
     11. R3[0->2], R2[2->0], R1[0->2]
     12. R3[0->2], R2[2->0], R1[0->4]
     13. R3[0->2], R2[2->4], R1[4->0]
     14. R3[0->2], R2[2->4], R1[4->2]
     15. R3[0->2], R2[2->4], R1[4->4]
     16. R3[0->4], R2[4->0], R1[0->0]
     17. R3[0->4], R2[4->0], R1[0->2]
     18. R3[0->4], R2[4->0], R1[0->4]
     19. R3[0->4], R2[4->2], R1[2->0]
     20. R3[0->4], R2[4->2], R1[2->2]
     21. R3[0->4], R2[4->2], R1[2->4]
     22. R3[0->6], R2[6->0], R1[0->0]
     23. R3[0->6], R2[6->0], R1[0->2]
     24. R3[0->6], R2[6->0], R1[0->4]
     25. R3[0->6], R2[6->2], R1[2->0]
     26. R3[0->6], R2[6->2], R1[2->2]
     27. R3[0->6], R2[6->2], R1[2->4]
     28. R3[0->6], R2[6->4], R1[4->0]
     29. R3[0->6], R2[6->4], R1[4->2]
     30. R3[0->6], R2[6->4], R1[4->4]
     31. R3[1->1], R2[1->3], R1[3->1]
     32. R3[1->1], R2[1->3], R1[3->3]
     33. R3[1->3], R2[3->1], R1[1->1]
     34. R3[1->3], R2[3->1], R1[1->3]
     35. R3[1->5], R2[5->1], R1[1->1]
     36. R3[1->5], R2[5->1], R1[1->3]
     37. R3[1->5], R2[5->3], R1[3->1]
     38. R3[1->5], R2[5->3], R1[3->3]
     39. R3[1->7], R2[7->1], R1[1->1]
     40. R3[1->7], R2[7->1], R1[1->3]
     41. R3[1->7], R2[7->3], R1[3->1]
     42. R3[1->7], R2[7->3], R1[3->3]
     43. R3[2->0], R2[0->0], R1[0->0]
     44. R3[2->0], R2[0->0], R1[0->2]
     45. R3[2->0], R2[0->0], R1[0->4]
     46. R3[2->0], R2[0->2], R1[2->0]
     47. R3[2->0], R2[0->2], R1[2->2]
     48. R3[2->0], R2[0->2], R1[2->4]
     49. R3[2->0], R2[0->4], R1[4->0]
     50. R3[2->0], R2[0->4], R1[4->2]
     51. R3[2->0], R2[0->4], R1[4->4]
     52. R3[2->2], R2[2->0], R1[0->0]
     53. R3[2->2], R2[2->0], R1[0->2]
     54. R3[2->2], R2[2->0], R1[0->4]
     55. R3[2->2], R2[2->4], R1[4->0]
     56. R3[2->2], R2[2->4], R1[4->2]
     57. R3[2->2], R2[2->4], R1[4->4]
     58. R3[2->4], R2[4->0], R1[0->0]
     59. R3[2->4], R2[4->0], R1[0->2]
     60. R3[2->4], R2[4->0], R1[0->4]
     61. R3[2->4], R2[4->2], R1[2->0]
     62. R3[2->4], R2[4->2], R1[2->2]
     63. R3[2->4], R2[4->2], R1[2->4]
     64. R3[2->6], R2[6->0], R1[0->0]
     65. R3[2->6], R2[6->0], R1[0->2]
     66. R3[2->6], R2[6->0], R1[0->4]
     67. R3[2->6], R2[6->2], R1[2->0]
     68. R3[2->6], R2[6->2], R1[2->2]
     69. R3[2->6], R2[6->2], R1[2->4]
     70. R3[2->6], R2[6->4], R1[4->0]
     71. R3[2->6], R2[6->4], R1[4->2]
     72. R3[2->6], R2[6->4], R1[4->4]
     73. R3[3->1], R2[1->3], R1[3->1]
     74. R3[3->1], R2[1->3], R1[3->3]
     75. R3[3->3], R2[3->1], R1[1->1]
     76. R3[3->3], R2[3->1], R1[1->3]
     77. R3[3->5], R2[5->1], R1[1->1]
     78. R3[3->5], R2[5->1], R1[1->3]
     79. R3[3->5], R2[5->3], R1[3->1]
     80. R3[3->5], R2[5->3], R1[3->3]
     81. R3[3->7], R2[7->1], R1[1->1]
     82. R3[3->7], R2[7->1], R1[1->3]
     83. R3[3->7], R2[7->3], R1[3->1]
     84. R3[3->7], R2[7->3], R1[3->3]
     85. R3[4->0], R2[0->0], R1[0->0]
     86. R3[4->0], R2[0->0], R1[0->2]
     87. R3[4->0], R2[0->0], R1[0->4]
     88. R3[4->0], R2[0->2], R1[2->0]
     89. R3[4->0], R2[0->2], R1[2->2]
     90. R3[4->0], R2[0->2], R1[2->4]
     91. R3[4->0], R2[0->4], R1[4->0]
     92. R3[4->0], R2[0->4], R1[4->2]
     93. R3[4->0], R2[0->4], R1[4->4]
     94. R3[4->2], R2[2->0], R1[0->0]
     95. R3[4->2], R2[2->0], R1[0->2]
     96. R3[4->2], R2[2->0], R1[0->4]
     97. R3[4->2], R2[2->4], R1[4->0]
     98. R3[4->2], R2[2->4], R1[4->2]
     99. R3[4->2], R2[2->4], R1[4->4]
    100. R3[4->4], R2[4->0], R1[0->0]
    101. R3[4->4], R2[4->0], R1[0->2]
    102. R3[4->4], R2[4->0], R1[0->4]
    103. R3[4->4], R2[4->2], R1[2->0]
    104. R3[4->4], R2[4->2], R1[2->2]
    105. R3[4->4], R2[4->2], R1[2->4]
    106. R3[4->6], R2[6->0], R1[0->0]
    107. R3[4->6], R2[6->0], R1[0->2]
    108. R3[4->6], R2[6->0], R1[0->4]
    109. R3[4->6], R2[6->2], R1[2->0]
    110. R3[4->6], R2[6->2], R1[2->2]
    111. R3[4->6], R2[6->2], R1[2->4]
    112. R3[4->6], R2[6->4], R1[4->0]
    113. R3[4->6], R2[6->4], R1[4->2]
    114. R3[4->6], R2[6->4], R1[4->4]
    115. R3[5->1], R2[1->3], R1[3->1]
    116. R3[5->1], R2[1->3], R1[3->3]
    117. R3[5->3], R2[3->1], R1[1->1]
    118. R3[5->3], R2[3->1], R1[1->3]
    119. R3[5->5], R2[5->1], R1[1->1]
    120. R3[5->5], R2[5->1], R1[1->3]
    121. R3[5->5], R2[5->3], R1[3->1]
    122. R3[5->5], R2[5->3], R1[3->3]
    123. R3[5->7], R2[7->1], R1[1->1]
    124. R3[5->7], R2[7->1], R1[1->3]
    125. R3[5->7], R2[7->3], R1[3->1]
    126. R3[5->7], R2[7->3], R1[3->3]
    127. R3[6->0], R2[0->0], R1[0->0]
    128. R3[6->0], R2[0->0], R1[0->2]
    129. R3[6->0], R2[0->0], R1[0->4]
    130. R3[6->0], R2[0->2], R1[2->0]
    131. R3[6->0], R2[0->2], R1[2->2]
    132. R3[6->0], R2[0->2], R1[2->4]
    133. R3[6->0], R2[0->4], R1[4->0]
    134. R3[6->0], R2[0->4], R1[4->2]
    135. R3[6->0], R2[0->4], R1[4->4]
    136. R3[6->2], R2[2->0], R1[0->0]
    137. R3[6->2], R2[2->0], R1[0->2]
    138. R3[6->2], R2[2->0], R1[0->4]
    139. R3[6->2], R2[2->4], R1[4->0]
    140. R3[6->2], R2[2->4], R1[4->2]
    141. R3[6->2], R2[2->4], R1[4->4]
    142. R3[6->4], R2[4->0], R1[0->0]
    143. R3[6->4], R2[4->0], R1[0->2]
    144. R3[6->4], R2[4->0], R1[0->4]
    145. R3[6->4], R2[4->2], R1[2->0]
    146. R3[6->4], R2[4->2], R1[2->2]
    147. R3[6->4], R2[4->2], R1[2->4]
    148. R3[6->6], R2[6->0], R1[0->0]
    149. R3[6->6], R2[6->0], R1[0->2]
    150. R3[6->6], R2[6->0], R1[0->4]
    151. R3[6->6], R2[6->2], R1[2->0]
    152. R3[6->6], R2[6->2], R1[2->2]
    153. R3[6->6], R2[6->2], R1[2->4]
    154. R3[6->6], R2[6->4], R1[4->0]
    155. R3[6->6], R2[6->4], R1[4->2]
    156. R3[6->6], R2[6->4], R1[4->4]
    157. R3[7->1], R2[1->3], R1[3->1]
    158. R3[7->1], R2[1->3], R1[3->3]
    159. R3[7->3], R2[3->1], R1[1->1]
    160. R3[7->3], R2[3->1], R1[1->3]
    161. R3[7->5], R2[5->1], R1[1->1]
    162. R3[7->5], R2[5->1], R1[1->3]
    163. R3[7->5], R2[5->3], R1[3->1]
    164. R3[7->5], R2[5->3], R1[3->3]
    165. R3[7->7], R2[7->1], R1[1->1]
    166. R3[7->7], R2[7->1], R1[1->3]
    167. R3[7->7], R2[7->3], R1[3->1]
    168. R3[7->7], R2[7->3], R1[3->3]
    169. R3[8->0], R2[0->0], R1[0->0]
    170. R3[8->0], R2[0->0], R1[0->2]
    171. R3[8->0], R2[0->0], R1[0->4]
    172. R3[8->0], R2[0->2], R1[2->0]
    173. R3[8->0], R2[0->2], R1[2->2]
    174. R3[8->0], R2[0->2], R1[2->4]
    175. R3[8->0], R2[0->4], R1[4->0]
    176. R3[8->0], R2[0->4], R1[4->2]
    177. R3[8->0], R2[0->4], R1[4->4]
    178. R3[8->2], R2[2->0], R1[0->0]
    179. R3[8->2], R2[2->0], R1[0->2]
    180. R3[8->2], R2[2->0], R1[0->4]
    181. R3[8->2], R2[2->4], R1[4->0]
    182. R3[8->2], R2[2->4], R1[4->2]
    183. R3[8->2], R2[2->4], R1[4->4]
    184. R3[8->4], R2[4->0], R1[0->0]
    185. R3[8->4], R2[4->0], R1[0->2]
    186. R3[8->4], R2[4->0], R1[0->4]
    187. R3[8->4], R2[4->2], R1[2->0]
    188. R3[8->4], R2[4->2], R1[2->2]
    189. R3[8->4], R2[4->2], R1[2->4]
    190. R3[8->6], R2[6->0], R1[0->0]
    191. R3[8->6], R2[6->0], R1[0->2]
    192. R3[8->6], R2[6->0], R1[0->4]
    193. R3[8->6], R2[6->2], R1[2->0]
    194. R3[8->6], R2[6->2], R1[2->2]
    195. R3[8->6], R2[6->2], R1[2->4]
    196. R3[8->6], R2[6->4], R1[4->0]
    197. R3[8->6], R2[6->4], R1[4->2]
    198. R3[8->6], R2[6->4], R1[4->4]
    199. R3[9->1], R2[1->3], R1[3->1]
    200. R3[9->1], R2[1->3], R1[3->3]
    201. R3[9->3], R2[3->1], R1[1->1]
    202. R3[9->3], R2[3->1], R1[1->3]
    203. R3[9->5], R2[5->1], R1[1->1]
    204. R3[9->5], R2[5->1], R1[1->3]
    205. R3[9->5], R2[5->3], R1[3->1]
    206. R3[9->5], R2[5->3], R1[3->3]
    207. R3[9->7], R2[7->1], R1[1->1]
    208. R3[9->7], R2[7->1], R1[1->3]
    209. R3[9->7], R2[7->3], R1[3->1]
    210. R3[9->7], R2[7->3], R1[3->3]
    211. R3[10->0], R2[0->0], R1[0->0]
    212. R3[10->0], R2[0->0], R1[0->2]
    213. R3[10->0], R2[0->0], R1[0->4]
    214. R3[10->0], R2[0->2], R1[2->0]
    215. R3[10->0], R2[0->2], R1[2->2]
    216. R3[10->0], R2[0->2], R1[2->4]
    217. R3[10->0], R2[0->4], R1[4->0]
    218. R3[10->0], R2[0->4], R1[4->2]
    219. R3[10->0], R2[0->4], R1[4->4]
    220. R3[10->2], R2[2->0], R1[0->0]
    221. R3[10->2], R2[2->0], R1[0->2]
    222. R3[10->2], R2[2->0], R1[0->4]
    223. R3[10->2], R2[2->4], R1[4->0]
    224. R3[10->2], R2[2->4], R1[4->2]
    225. R3[10->2], R2[2->4], R1[4->4]
    226. R3[10->4], R2[4->0], R1[0->0]
    227. R3[10->4], R2[4->0], R1[0->2]
    228. R3[10->4], R2[4->0], R1[0->4]
    229. R3[10->4], R2[4->2], R1[2->0]
    230. R3[10->4], R2[4->2], R1[2->2]
    231. R3[10->4], R2[4->2], R1[2->4]
    232. R3[10->6], R2[6->0], R1[0->0]
    233. R3[10->6], R2[6->0], R1[0->2]
    234. R3[10->6], R2[6->0], R1[0->4]
    235. R3[10->6], R2[6->2], R1[2->0]
    236. R3[10->6], R2[6->2], R1[2->2]
    237. R3[10->6], R2[6->2], R1[2->4]
    238. R3[10->6], R2[6->4], R1[4->0]
    239. R3[10->6], R2[6->4], R1[4->2]
    240. R3[10->6], R2[6->4], R1[4->4]

  First few with global coordinates (up to 10 shown):
      1. whole: s=(0, 9) -> t=(0, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (0, 4)   (bridge down from R2_t to R1_s)
         R1: (0, 3) -> (0, 0)
      2. whole: s=(0, 9) -> t=(2, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (0, 4)   (bridge down from R2_t to R1_s)
         R1: (0, 3) -> (2, 0)
      3. whole: s=(0, 9) -> t=(4, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (0, 4)   (bridge down from R2_t to R1_s)
         R1: (0, 3) -> (4, 0)
      4. whole: s=(0, 9) -> t=(0, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (2, 4)   (bridge down from R2_t to R1_s)
         R1: (2, 3) -> (0, 0)
      5. whole: s=(0, 9) -> t=(2, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (2, 4)   (bridge down from R2_t to R1_s)
         R1: (2, 3) -> (2, 0)
      6. whole: s=(0, 9) -> t=(4, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (2, 4)   (bridge down from R2_t to R1_s)
         R1: (2, 3) -> (4, 0)
      7. whole: s=(0, 9) -> t=(0, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (4, 4)   (bridge down from R2_t to R1_s)
         R1: (4, 3) -> (0, 0)
      8. whole: s=(0, 9) -> t=(2, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (4, 4)   (bridge down from R2_t to R1_s)
         R1: (4, 3) -> (2, 0)
      9. whole: s=(0, 9) -> t=(4, 0)
         R3: (0, 9) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (4, 4)   (bridge down from R2_t to R1_s)
         R1: (4, 3) -> (4, 0)
     10. whole: s=(0, 9) -> t=(0, 0)
         R3: (0, 9) -> (2, 6)   (bridge down from R3_t to R2_s)
         R2: (2, 5) -> (0, 4)   (bridge down from R2_t to R1_s)
         R1: (0, 3) -> (0, 0)

------------------------------------------------------------

Example 7
  R1: m=7, n=4
  R2: m=8, n=2
  R3: m=11, n=4
  #Solutions: 447
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
      1. R3[0->0], R2[0->0], R1[0->0]
      2. R3[0->0], R2[0->0], R1[0->2]
      3. R3[0->0], R2[0->0], R1[0->4]
      4. R3[0->0], R2[0->0], R1[0->6]
      5. R3[0->0], R2[0->2], R1[2->0]
      6. R3[0->0], R2[0->2], R1[2->2]
      7. R3[0->0], R2[0->2], R1[2->4]
      8. R3[0->0], R2[0->2], R1[2->6]
      9. R3[0->0], R2[0->4], R1[4->0]
     10. R3[0->0], R2[0->4], R1[4->2]
     11. R3[0->0], R2[0->4], R1[4->4]
     12. R3[0->0], R2[0->4], R1[4->6]
     13. R3[0->0], R2[0->6], R1[6->0]
     14. R3[0->0], R2[0->6], R1[6->2]
     15. R3[0->0], R2[0->6], R1[6->4]
     16. R3[0->0], R2[0->6], R1[6->6]
     17. R3[0->2], R2[2->0], R1[0->0]
     18. R3[0->2], R2[2->0], R1[0->2]
     19. R3[0->2], R2[2->0], R1[0->4]
     20. R3[0->2], R2[2->0], R1[0->6]
     21. R3[0->2], R2[2->4], R1[4->0]
     22. R3[0->2], R2[2->4], R1[4->2]
     23. R3[0->2], R2[2->4], R1[4->4]
     24. R3[0->2], R2[2->4], R1[4->6]
     25. R3[0->2], R2[2->6], R1[6->0]
     26. R3[0->2], R2[2->6], R1[6->2]
     27. R3[0->2], R2[2->6], R1[6->4]
     28. R3[0->2], R2[2->6], R1[6->6]
     29. R3[0->4], R2[4->0], R1[0->0]
     30. R3[0->4], R2[4->0], R1[0->2]
     31. R3[0->4], R2[4->0], R1[0->4]
     32. R3[0->4], R2[4->0], R1[0->6]
     33. R3[0->4], R2[4->2], R1[2->0]
     34. R3[0->4], R2[4->2], R1[2->2]
     35. R3[0->4], R2[4->2], R1[2->4]
     36. R3[0->4], R2[4->2], R1[2->6]
     37. R3[0->4], R2[4->6], R1[6->0]
     38. R3[0->4], R2[4->6], R1[6->2]
     39. R3[0->4], R2[4->6], R1[6->4]
     40. R3[0->4], R2[4->6], R1[6->6]
     41. R3[0->6], R2[6->0], R1[0->0]
     42. R3[0->6], R2[6->0], R1[0->2]
     43. R3[0->6], R2[6->0], R1[0->4]
     44. R3[0->6], R2[6->0], R1[0->6]
     45. R3[0->6], R2[6->2], R1[2->0]
     46. R3[0->6], R2[6->2], R1[2->2]
     47. R3[0->6], R2[6->2], R1[2->4]
     48. R3[0->6], R2[6->2], R1[2->6]
     49. R3[0->6], R2[6->4], R1[4->0]
     50. R3[0->6], R2[6->4], R1[4->2]
     51. R3[0->6], R2[6->4], R1[4->4]
     52. R3[0->6], R2[6->4], R1[4->6]
     53. R3[1->1], R2[1->3], R1[3->1]
     54. R3[1->1], R2[1->3], R1[3->3]
     55. R3[1->1], R2[1->3], R1[3->5]
     56. R3[1->1], R2[1->5], R1[5->1]
     57. R3[1->1], R2[1->5], R1[5->3]
     58. R3[1->1], R2[1->5], R1[5->5]
     59. R3[1->3], R2[3->1], R1[1->1]
     60. R3[1->3], R2[3->1], R1[1->3]
     61. R3[1->3], R2[3->1], R1[1->5]
     62. R3[1->3], R2[3->5], R1[5->1]
     63. R3[1->3], R2[3->5], R1[5->3]
     64. R3[1->3], R2[3->5], R1[5->5]
     65. R3[1->5], R2[5->1], R1[1->1]
     66. R3[1->5], R2[5->1], R1[1->3]
     67. R3[1->5], R2[5->1], R1[1->5]
     68. R3[1->5], R2[5->3], R1[3->1]
     69. R3[1->5], R2[5->3], R1[3->3]
     70. R3[1->5], R2[5->3], R1[3->5]
     71. R3[1->7], R2[7->1], R1[1->1]
     72. R3[1->7], R2[7->1], R1[1->3]
     73. R3[1->7], R2[7->1], R1[1->5]
     74. R3[1->7], R2[7->3], R1[3->1]
     75. R3[1->7], R2[7->3], R1[3->3]
     76. R3[1->7], R2[7->3], R1[3->5]
     77. R3[1->7], R2[7->5], R1[5->1]
     78. R3[1->7], R2[7->5], R1[5->3]
     79. R3[1->7], R2[7->5], R1[5->5]
     80. R3[2->0], R2[0->0], R1[0->0]
     81. R3[2->0], R2[0->0], R1[0->2]
     82. R3[2->0], R2[0->0], R1[0->4]
     83. R3[2->0], R2[0->0], R1[0->6]
     84. R3[2->0], R2[0->2], R1[2->0]
     85. R3[2->0], R2[0->2], R1[2->2]
     86. R3[2->0], R2[0->2], R1[2->4]
     87. R3[2->0], R2[0->2], R1[2->6]
     88. R3[2->0], R2[0->4], R1[4->0]
     89. R3[2->0], R2[0->4], R1[4->2]
     90. R3[2->0], R2[0->4], R1[4->4]
     91. R3[2->0], R2[0->4], R1[4->6]
     92. R3[2->0], R2[0->6], R1[6->0]
     93. R3[2->0], R2[0->6], R1[6->2]
     94. R3[2->0], R2[0->6], R1[6->4]
     95. R3[2->0], R2[0->6], R1[6->6]
     96. R3[2->2], R2[2->0], R1[0->0]
     97. R3[2->2], R2[2->0], R1[0->2]
     98. R3[2->2], R2[2->0], R1[0->4]
     99. R3[2->2], R2[2->0], R1[0->6]
    100. R3[2->2], R2[2->4], R1[4->0]
    101. R3[2->2], R2[2->4], R1[4->2]
    102. R3[2->2], R2[2->4], R1[4->4]
    103. R3[2->2], R2[2->4], R1[4->6]
    104. R3[2->2], R2[2->6], R1[6->0]
    105. R3[2->2], R2[2->6], R1[6->2]
    106. R3[2->2], R2[2->6], R1[6->4]
    107. R3[2->2], R2[2->6], R1[6->6]
    108. R3[2->4], R2[4->0], R1[0->0]
